,Disney_Period,Gender,Movie,Role,Song,Speaker,Speaker_Status,Text,UTTERANCE_NUMBER,Year
1482,MID,m,The Little Mermaid,N,D,seahorse,NON-P,he wants to see you right away something about ariel. ,162,1989
4392,MID,m,Mulan,N,D,chi fu,NON-P,captain? ,427,1998
8397,DREAMWORKS,m,Shrek,PRO,D,shrek,NON-P,"princess, i was sent to rescue you by lord farquaad, okay? he is the one who wants to marry you.",332,2001
5391,LATE,f,Brave,PRO,D,merida,PRINCESS,i will never be like you! ,197,2012
39,EARLY,f,Snow White,PRO,D,snow white,PRINCESS,and a shoe. ,40,1937
10523,DREAMWORKS,m,How to Train Your Dragon,N,D,gobber,NON-P,the hideous zippleback.,177,2010
13033,DREAMWORKS,m,The Croods,HELPER,D,thunk,NON-P,ahhh! they're all over me... tell my story...,416,2013
9860,DREAMWORKS,m,Kung Fu Panda,HELPER,D,shifu,NON-P,my patience is wearing thin.,203,2008
2216,MID,f,Aladdin,PRO,D,jasmine,PRINCESS,"all of you, standing around deciding my future? i am not a prize to be won! ",501,1992
13190,DREAMWORKS,m,The Croods,HELPER,D,thunk,NON-P,more suns in the sky than you can count.,573,2013
13352,DREAMWORKS,m,The Croods,ANT,D,grug,NON-P,get up!,735,2013
2709,MID,m,Beauty and the Beast,PRO,D,maurice,NON-P,incredible! ,152,1991
12330,DREAMWORKS,m,Rise of the Guardians,HELPER,D,north,NON-P,"jack, where were you?",641,2012
13464,DREAMWORKS,m,How to Train Your Dragon 2,PRO,D,hiccup,NON-P,when have i ever done that with my hands?,77,2014
11022,DREAMWORKS,m,How to Train Your Dragon,PRO,D,hiccup,NON-P,"well, he can fly.",676,2010
349,EARLY,f,Snow White,ANT,D,queen,NON-P,"fine ! fine ! now, take a bite. don't let the wish grow cold ! ",350,1937
11931,DREAMWORKS,m,Rise of the Guardians,PRO,D,jack,NON-P,what?,242,2012
141,EARLY,m,Snow White,HELPER,D,sneezy,NON-P,ahchoo ! ,142,1937
7136,LATE,m,Frozen,HELPER,D,olaf,NON-P,"hang in there, guys!",568,2013
9880,DREAMWORKS,m,Kung Fu Panda,PRO,D,po,NON-P,hey...,223,2008
9643,DREAMWORKS,m,Shrek 3,HELPER,D,puss,NON-P,and i am not you!,856,2007
11780,DREAMWORKS,m,Rise of the Guardians,N,D,claude,NON-P,i hope we can find the eggs with all this snow!,91,2012
8960,DREAMWORKS,m,Shrek 3,PRO,D,shrek,NON-P,yeah?,173,2007
3951,MID,m,Pocahontas,PRO,D,john smith,PRINCE,"what pain? i've had worse pain than this. can't think of any right now, but. . . ",624,1995
230,EARLY,m,Snow White,HELPER,D,grumpy,NON-P,hah ! ,231,1937
11106,DREAMWORKS,m,Megamind,ANT,D,hal,NON-P,"what i was trying to say was, i can’t believe that in our modern society, they let, like actual art get onto the news.",34,2010
2000,MID,m,Aladdin,PRO,D,aladdin,PRINCE,would ya look at that! ,285,1992
5202,LATE,m,Brave,N,D,king fergus,NON-P,not with that. why not use you very own? ,8,2012
7844,DREAMWORKS,m,Antz,PRO,D,z,NON-P,let's dig in!,423,1998
11569,DREAMWORKS,m,Megamind,PRO,D,megamind,NON-P,"look, if we don’t find titan’s weakness he’ll destroy the whole city.",497,2010
915,EARLY,f,Sleeping Beauty,HELPER,D,flora,NON-P,"i'm going to ... shh, shh, shh! even walls have ears. ",56,1959
13897,DREAMWORKS,m,How to Train Your Dragon 2,HELPER,D,stoick,NON-P,"val! it's all right, it's all right. we're a team now. now what do you want to do?",510,2014
14043,DREAMWORKS,m,How to Train Your Dragon 2,PRO,D,hiccup,NON-P,we can do this. you and me. as one.,656,2014
